,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
Iso_1_96,403,506,461,496,433,170,91,155,120,72
Iso_1_97,78,59,49,55,82,271,230,152,188,256
Iso_1_98,1843,1672,1877,1566,1651,513,477,458,482,507
Iso_1_99,4246,4448,4511,4517,5063,1262,1511,1538,1429,1368
Iso_1_100,5,5,5,1,5,3,1,1,2,2
Iso_1_101,160,190,190,149,181,202,169,154,199,171
Iso_1_102,1085,1031,944,1178,935,1013,1014,1074,959,1069
Iso_1_103,25,20,30,38,41,35,29,48,23,35
Iso_1_104,429,400,478,470,522,428,466,378,491,422
Iso_1_105,289,312,335,262,265,266,266,253,309,280
Iso_1_106,46,55,48,59,44,51,58,60,59,56
Iso_1_107,301,316,422,337,357,344,335,333,371,352
Iso_1_108,181,190,107,184,156,145,194,218,152,156
Iso_1_109,240,271,262,170,159,156,221,224,257,218
Iso_1_110,73,66,64,68,79,75,67,84,75,78
Iso_1_111,87,77,93,68,106,61,98,96,81,89
Iso_1_112,478,515,403,520,525,557,487,498,513,471
Iso_1_113,1390,1219,1613,1429,1352,1461,1264,1344,1408,1183
Iso_1_114,837,890,759,781,805,927,856,730,955,875
Iso_1_115,35,15,19,17,18,23,23,17,21,13
Iso_1_116,211,259,237,190,313,259,278,294,338,206
Iso_1_117,91,116,48,75,58,74,62,82,95,65
Iso_1_118,122,137,148,152,168,189,189,123,164,129
Iso_1_119,845,701,901,669,799,730,753,885,805,866
Iso_1_120,1387,796,1059,1379,1527,962,1500,1373,1009,1319
Iso_1_121,31,32,23,32,37,31,22,43,20,20
Iso_1_122,269,347,276,267,351,316,258,253,387,261
Iso_1_123,2247,1854,2403,1953,2485,1935,2493,2282,2803,2678
Iso_1_124,1188,1214,1036,1109,1061,1042,1075,1155,1020,1179
Iso_1_125,546,632,599,584,563,434,637,615,512,607
Iso_1_126,11442,10595,13355,10383,10635,10725,10925,10892,10903,9344
Iso_1_127,26,26,31,38,35,26,38,21,30,25
Iso_1_128,317,277,332,353,335,351,380,400,386,423
Iso_1_129,58,46,33,42,42,57,47,48,57,42
Iso_1_130,172,250,202,212,182,162,204,204,163,227
Iso_1_131,314,369,359,279,293,369,277,347,303,313
Iso_1_132,814,823,918,883,1018,871,839,811,852,923
Iso_1_133,45,37,71,61,65,39,80,29,78,49
Iso_1_134,756,865,844,761,651,697,815,743,820,873
Iso_1_135,2055,1631,2048,1748,1976,1745,1580,2148,2036,1782
Iso_1_136,1590,1198,1454,1444,1312,1182,1467,1451,1250,1374
Iso_1_137,2446,2882,2776,1549,3104,2401,2774,2632,2077,2179
Iso_1_138,29,17,26,26,21,27,28,24,28,36
Iso_1_139,177,173,135,122,178,157,159,164,131,211
Iso_1_140,394,362,333,391,399,385,351,287,363,476
Iso_1_141,142,147,148,153,147,160,126,115,177,138
Iso_1_142,714,693,730,678,772,757,759,815,705,723
Iso_1_143,85,99,67,71,97,152,96,78,125,111
Iso_1_144,1263,1949,1584,1388,948,1635,1274,2098,1733,1049
Iso_1_145,1338,1306,1490,1230,1224,1226,980,1202,1214,1051
Iso_1_146,354,353,315,363,369,506,463,377,443,371
Iso_1_147,1009,947,859,873,849,869,1020,975,907,867
Iso_1_148,183,173,193,203,213,243,209,181,204,200
Iso_1_149,358,358,293,295,354,407,309,289,339,329
Iso_1_150,448,606,598,674,624,526,558,597,527,464
Iso_1_151,402,399,382,359,344,363,411,345,431,374
Iso_1_152,12,10,27,16,8,18,37,11,20,17
Iso_1_153,881,856,825,688,821,848,865,812,845,769
Iso_1_154,434,324,305,313,322,350,481,431,361,314
Iso_1_155,3,4,2,1,1,0,1,1,2,1
Iso_1_156,249,290,245,315,324,266,216,253,283,265
Iso_1_157,312,299,371,342,471,428,272,345,378,358
Iso_1_158,124,129,119,118,136,94,116,114,143,129
Iso_1_159,680,636,690,779,678,636,640,643,691,688
Iso_1_160,1624,1974,1883,1652,1621,2083,1743,1707,1732,1765
Iso_1_161,2137,1962,2484,2012,2326,2948,2592,2222,2435,2456
Iso_1_162,42,48,48,36,31,40,35,36,39,36
Iso_1_163,271,294,231,285,263,282,316,280,363,265
Iso_1_164,648,625,741,746,595,769,671,668,739,654
Iso_1_165,53,57,49,45,39,67,65,55,72,80
Iso_1_166,2319,2312,2105,2256,2347,2272,2208,2104,2232,1976
Iso_1_167,121,135,154,127,113,112,128,114,106,112
Iso_1_168,582,663,594,591,626,532,654,626,713,637
Iso_1_169,784,782,921,846,746,612,895,705,767,852
Iso_1_170,429,402,339,479,357,321,453,398,442,439
Iso_1_171,303,286,252,229,296,302,214,286,305,253
Iso_1_172,433,479,480,486,330,555,498,382,437,406
Iso_1_173,96,95,101,87,78,122,100,89,90,92
Iso_1_174,778,681,713,862,822,937,695,615,820,747
Iso_1_175,72,71,73,58,72,93,60,71,80,88
Iso_1_176,361,305,360,257,292,342,315,351,358,271
Iso_1_177,119,143,136,139,172,123,127,132,186,147
Iso_1_178,946,906,1161,990,1194,1064,1009,1113,1028,826
Iso_1_179,947,853,933,883,773,820,944,854,933,946
Iso_1_180,811,755,706,896,676,775,607,691,719,819
Iso_1_181,621,735,537,714,786,492,623,474,722,727
Iso_1_182,403,398,330,362,398,413,323,398,427,421
Iso_1_183,372,435,347,323,494,316,509,423,306,337
Iso_1_184,1445,1397,1904,1747,1349,1902,1281,1238,1702,1444
Iso_1_185,163,189,219,179,171,199,180,186,160,188
Iso_1_186,855,868,876,859,898,834,932,941,881,847
Iso_1_187,570,501,462,488,489,536,505,433,473,522
Iso_1_188,346,315,340,341,316,303,328,316,262,305
Iso_1_189,71,59,79,75,84,98,61,111,80,79
Iso_1_190,143,137,94,90,171,166,38,97,141,78
Iso_1_191,2526,2404,2716,2649,2796,2760,2472,2646,2593,2895
Iso_1_192,36,20,34,38,26,37,31,28,27,27
Iso_1_193,107,107,81,104,123,86,84,118,109,101
Iso_1_194,2088,2075,1931,2196,1737,1834,2066,2143,2335,1718
Iso_1_195,126,167,133,122,156,105,140,113,142,152
Iso_1_196,3681,3025,3266,3029,3389,3271,3326,2954,3117,2880
Iso_1_197,386,460,381,432,433,432,390,393,350,382
Iso_1_198,688,552,736,644,630,646,608,622,625,660
Iso_1_199,402,377,318,390,419,373,355,376,341,354
Iso_1_200,733,1388,1049,878,926,1003,836,704,873,837
Iso_1_201,1529,1109,1418,1228,1505,1350,1222,1654,1471,1190
Iso_1_202,425,562,526,498,593,587,532,427,545,562
Iso_1_203,7,11,3,4,1,6,2,6,9,5
Iso_1_204,205,219,200,195,230,183,232,238,209,166
Iso_1_205,899,820,817,802,851,949,873,810,815,959
Iso_1_206,372,348,415,308,338,379,366,336,368,340
Iso_1_207,381,424,375,315,395,502,362,503,406,460
Iso_1_208,251,251,219,280,227,252,189,286,220,233
Iso_1_209,819,808,801,844,763,748,696,866,756,820
Iso_1_210,1279,1270,1488,1369,1183,1477,1267,1184,1387,1317
Iso_1_211,26,23,36,26,37,30,29,30,28,55
Iso_1_212,49,44,47,31,52,58,49,55,43,51
Iso_1_213,45,92,53,68,45,41,68,55,42,24
Iso_1_214,304,285,293,354,202,272,266,364,307,325
Iso_1_215,1107,1062,1165,1269,1258,1521,1286,1156,1086,1265
Iso_1_216,485,333,416,331,426,479,361,515,407,435
Iso_1_217,104,105,124,106,95,142,134,117,103,123
Iso_1_218,820,963,1166,1109,676,900,1060,949,832,772
Iso_1_219,726,764,961,718,475,648,675,795,606,636
Iso_1_220,54,65,68,44,35,59,57,59,41,53
Iso_1_221,732,720,600,419,622,476,536,559,489,444
Iso_1_222,193,238,234,221,211,266,213,268,235,207
Iso_1_223,418,346,488,444,374,444,320,344,264,407
Iso_1_224,679,606,653,515,609,573,583,646,533,609
Iso_1_225,2034,2115,2091,1859,1856,1925,2309,2035,1984,1854
Iso_1_226,310,402,550,334,337,375,350,521,364,459
Iso_1_227,275,305,341,284,356,231,349,337,248,330
Iso_1_228,719,850,791,770,806,810,831,830,779,768
Iso_1_229,523,478,556,404,484,512,427,401,408,373
Iso_1_230,177,198,168,275,141,230,135,286,203,156
Iso_1_231,71,127,86,64,106,98,92,94,110,65
Iso_1_232,714,899,808,799,808,837,798,742,853,785
Iso_1_233,921,856,890,1003,847,984,907,825,724,891
Iso_1_234,112,128,102,102,92,127,109,99,109,89
Iso_1_235,169,145,173,141,159,175,162,166,201,192
Iso_1_236,377,342,294,402,338,363,369,320,348,321
Iso_1_237,102,88,95,66,85,75,88,100,80,73
Iso_1_238,106,102,111,136,118,130,101,109,118,118
Iso_1_239,71,90,80,66,80,78,82,79,63,74
Iso_1_240,1787,1776,1652,1560,1753,1554,1676,1725,1839,1828
Iso_1_241,535,540,445,459,485,556,496,432,547,470
Iso_1_242,199,197,190,241,179,196,172,193,186,205
Iso_1_243,642,725,723,631,659,644,731,702,686,735
Iso_1_244,19,20,22,16,25,15,20,14,13,20
Iso_1_245,9,7,9,0,15,8,11,7,10,12
Iso_1_246,158,127,77,114,128,181,107,89,113,114
Iso_1_247,681,715,792,751,640,666,770,665,620,789
Iso_1_248,349,325,339,418,366,448,455,417,311,361
Iso_1_249,127,127,129,122,96,126,115,102,64,98
Iso_1_250,44,41,51,46,51,38,52,46,49,30
Iso_1_251,689,793,605,730,737,668,731,784,846,711
Iso_1_252,48,36,35,44,47,39,49,40,47,52
Iso_1_253,1107,1114,1374,1275,1090,1330,1082,1182,1138,1389
Iso_1_254,1520,1339,1437,1525,1416,1343,1474,1416,1597,1525
Iso_1_255,139,166,169,166,129,190,182,151,189,200
Iso_1_256,45,49,44,29,36,35,42,14,43,50
Iso_1_257,255,254,199,263,215,237,234,274,169,284
Iso_1_258,275,415,301,238,156,296,412,231,385,387
Iso_1_259,308,420,346,329,349,378,410,357,391,351
Iso_1_260,1099,1286,1200,1369,1257,1403,1225,1152,1406,1031
Iso_1_261,1004,918,773,599,985,1091,839,963,818,902
Iso_1_262,5,2,0,3,5,2,2,0,3,1
Iso_1_263,509,581,412,419,419,491,602,585,407,531
Iso_1_264,145,89,123,118,89,103,86,91,111,120
Iso_1_265,331,335,372,277,362,404,371,384,424,461
Iso_1_266,669,753,758,702,725,715,771,778,746,640
Iso_1_267,1584,1730,1914,1694,1871,1602,1534,1958,1843,1581
Iso_1_268,84,62,76,60,52,52,51,53,45,69
Iso_1_269,2029,2040,1942,2029,1875,1732,1843,1909,1903,1908
Iso_1_270,386,435,444,398,467,474,472,481,481,510
Iso_1_271,335,246,247,286,231,259,333,284,260,258
Iso_1_272,62,66,73,55,58,48,53,44,53,62
Iso_1_273,623,550,473,584,680,617,423,734,629,686
Iso_1_274,231,259,243,225,250,214,208,203,289,248
Iso_1_275,1014,1051,1082,1133,1067,1015,1067,1079,1017,1085
Iso_1_276,1831,1874,1825,1840,1740,2015,1913,1886,2062,1924
Iso_1_277,391,323,392,391,362,369,421,335,310,331
Iso_1_278,523,639,555,534,491,577,634,591,473,643
Iso_1_279,13,22,30,18,19,14,24,19,15,14
Iso_1_280,353,339,325,369,428,353,376,414,365,372
Iso_1_281,144,173,155,161,170,167,153,172,140,172
Iso_1_282,1852,2394,2073,1591,2215,2351,2445,1838,1731,1760
Iso_1_283,86,94,88,65,90,73,99,64,63,65
Iso_1_284,275,248,282,251,280,297,255,282,266,258
Iso_1_285,405,429,447,382,415,424,418,440,427,399
Iso_1_286,291,341,334,341,315,308,322,339,316,275
Iso_1_287,258,181,324,232,246,286,291,311,171,189
Iso_1_288,423,497,380,394,498,423,290,367,463,497
Iso_1_289,182,223,205,234,247,247,183,225,234,228
Iso_1_290,473,342,359,425,412,329,475,456,392,542
Iso_1_291,418,362,429,464,394,429,382,397,386,392
Iso_1_292,2656,2588,3020,3031,2766,3117,3069,2885,2433,2868
Iso_1_293,118,95,109,91,103,106,144,92,90,116
Iso_1_294,477,474,569,531,517,482,499,587,531,552
Iso_1_295,62,104,83,97,87,75,84,73,71,82
Iso_1_296,176,172,166,179,170,196,169,167,172,168
Iso_1_297,1315,1217,1239,1427,1452,1277,1951,1306,1743,1280
Iso_1_298,922,869,999,726,713,793,793,900,778,813
Iso_1_299,747,897,826,662,798,683,699,980,616,740
Iso_1_300,456,473,453,453,479,482,423,411,555,505
Iso_1_301,1392,1611,1097,1185,1421,1660,1608,1058,938,1090
Iso_1_302,1424,2324,1839,2367,1956,2201,1768,1894,1557,1883
Iso_1_303,420,356,474,458,490,490,513,452,473,344
Iso_1_304,351,496,393,430,364,414,424,294,392,314
Iso_1_305,34,24,23,45,34,22,37,48,31,45
Iso_1_306,2284,2327,2155,2149,2248,3073,2846,2224,1970,1916
Iso_1_307,4686,3903,5061,4901,4807,4024,4570,4792,5040,5270
Iso_1_308,1795,1677,1377,1311,1297,1532,1065,1436,1912,1354
Iso_1_309,182,237,235,254,292,269,225,211,208,226
Iso_1_310,1729,1571,1235,1313,1368,1500,1755,1390,1303,1506
Iso_1_311,796,687,835,766,833,787,746,649,804,688
Iso_1_312,221,151,205,140,187,190,189,195,199,186
Iso_1_313,3012,3428,2774,3580,3311,3049,2742,3132,2644,3340
Iso_1_314,149,171,186,128,131,179,174,169,158,140
Iso_1_315,325,394,346,339,300,336,337,347,346,345
Iso_1_316,623,804,632,648,635,481,437,652,567,641
Iso_1_317,14,9,16,20,23,18,7,27,19,14
Iso_1_318,610,633,524,596,524,575,663,585,673,548
Iso_1_319,3456,4128,3500,3741,3530,3391,3431,3490,2968,3624
Iso_1_320,1075,1022,1312,990,1391,1558,1082,955,960,1238
Iso_1_321,126,145,124,143,84,148,111,126,139,119
Iso_1_322,769,877,958,965,951,778,916,778,812,1033
Iso_1_323,95,92,98,92,97,105,103,70,98,89
Iso_1_324,60,59,62,55,38,58,46,48,54,35
Iso_1_325,222,210,182,188,198,196,166,234,198,202
Iso_1_326,127,167,130,145,163,122,167,123,117,129
Iso_1_327,1625,1600,1352,1614,1302,1424,1293,1599,1579,1658
Iso_1_328,409,629,517,536,600,501,660,581,586,566
Iso_1_329,370,427,370,352,403,312,365,333,338,403
Iso_1_330,1115,1151,1137,1141,1060,1085,1179,1122,1093,1250
Iso_1_331,130,115,71,110,112,102,92,110,87,101
Iso_1_332,3913,3550,3263,4212,3800,3730,3280,3730,3697,3553
Iso_1_333,156,140,148,116,105,191,129,133,151,145
Iso_1_334,711,474,395,547,467,405,440,436,492,567
Iso_1_335,22590,30039,23100,22924,22565,21110,25699,23492,25291,24333
Iso_1_336,339,452,416,428,520,447,386,298,418,459
Iso_1_337,156,117,137,150,161,143,151,191,139,154
Iso_1_338,8,5,6,1,5,3,1,3,3,9
Iso_1_339,3912,3062,3874,2901,3458,3331,3628,3694,3857,3552
Iso_1_340,881,540,595,1093,814,814,730,741,702,900
Iso_1_341,404,391,387,387,407,417,372,349,386,389
Iso_1_342,70,108,124,71,83,66,94,77,73,93
Iso_1_343,457,304,293,381,296,198,246,357,244,328
Iso_1_344,51,82,90,63,52,74,70,78,35,72
Iso_1_345,1669,1678,1647,1568,1810,1551,1813,1585,1437,1648
Iso_1_346,1267,999,1116,832,862,963,1130,999,1116,1054
Iso_1_347,1308,1161,1246,1199,1158,1105,1146,995,1282,1219
Iso_1_348,401,357,411,374,396,503,402,471,409,433
Iso_1_349,1410,1210,1509,1411,1261,1312,1371,1244,1298,1364
Iso_1_350,0,1,0,1,1,1,1,4,0,2
Iso_1_351,404,445,467,486,433,464,469,456,414,423
Iso_1_352,525,427,379,580,381,525,391,393,425,501
Iso_1_353,1528,1828,1748,2105,1510,1703,2151,1847,2055,2074
Iso_1_354,100,79,107,95,120,106,92,75,101,88
Iso_1_355,28,40,35,33,36,43,35,38,30,23
Iso_1_356,237,202,236,334,288,275,315,236,237,268
Iso_1_357,12,12,7,17,17,16,15,10,15,7
Iso_1_358,3420,2421,2462,3883,3350,2945,3223,2671,3419,3302
Iso_1_359,389,277,341,358,318,332,269,314,321,354
Iso_1_360,948,1013,1112,1153,1099,1211,1126,1191,860,641
Iso_1_361,42,38,43,35,49,48,40,31,36,48
Iso_1_362,853,831,806,777,616,839,801,816,780,777
Iso_1_363,377,381,324,414,407,356,368,383,463,328
Iso_1_364,233,217,219,200,220,218,227,211,225,181
Iso_1_365,848,849,816,832,854,901,886,838,902,870
Iso_1_366,29,52,49,57,43,44,60,50,59,64
Iso_1_367,140,122,132,130,138,149,149,175,133,136
Iso_1_368,1256,1067,1181,1185,1239,1078,1100,984,822,1118
Iso_1_369,42,40,51,37,42,40,42,31,41,41
Iso_1_370,886,925,820,856,854,870,814,953,784,922
Iso_1_371,2478,1739,2464,2281,1559,2853,2929,2877,2579,1418
Iso_1_372,865,839,763,728,741,797,820,814,677,842
Iso_1_373,2187,1785,1913,2234,2111,2113,1697,2346,2164,1931
Iso_1_374,734,686,689,812,913,695,771,857,726,833
Iso_1_375,1691,1680,1572,2100,1771,1593,1697,1764,1637,1747
Iso_1_376,362,352,342,379,355,342,340,330,383,314
Iso_1_377,12472,10935,15868,9873,12106,12479,9908,8383,12872,10435
Iso_1_378,663,1045,859,914,837,984,800,706,662,938
Iso_1_379,835,922,891,870,869,904,933,831,838,872
Iso_1_380,259,248,282,249,213,257,253,262,343,249
Iso_1_381,11,13,8,9,7,8,11,4,10,11
Iso_1_382,797,622,668,663,717,681,659,666,688,624
Iso_1_383,855,899,854,839,853,788,912,759,834,892
Iso_1_384,2025,2199,2247,2157,2099,2135,2157,1916,1863,1991
Iso_1_385,549,452,380,450,507,599,519,424,460,482
Iso_1_386,1225,1176,1308,1464,1447,1158,1209,1412,1107,890
Iso_1_387,121,120,96,131,125,116,142,148,192,166
Iso_1_388,292,267,288,272,280,292,281,278,284,268
Iso_1_389,1755,1764,1688,1666,1824,1830,1702,1862,1965,1991
Iso_1_390,1062,1012,952,855,1017,993,1074,931,936,1176
Iso_1_391,13196,15239,14174,14893,15570,13656,14430,15094,16025,13769
Iso_1_392,300,378,322,330,324,368,297,311,317,391
Iso_1_393,210,240,219,324,288,194,269,219,231,205
Iso_1_394,1006,953,878,1044,1045,1057,1229,1078,1079,1117
Iso_1_395,640,743,605,646,826,742,555,668,716,596
Iso_1_396,124,140,149,129,108,184,127,131,106,141
Iso_1_397,1609,1532,1622,1919,1526,1749,1489,1591,1700,1831
Iso_1_398,681,652,627,637,659,595,694,667,639,688
Iso_1_399,214,253,223,179,235,267,214,176,283,247
Iso_1_400,113,122,101,131,157,145,124,123,187,142
Iso_1_401,164,167,168,185,193,161,159,173,180,169
Iso_1_402,1041,954,944,853,833,873,821,806,904,961
Iso_1_403,3356,2985,2964,3105,3143,3086,3089,3116,2837,3457
Iso_1_404,19,16,23,19,30,18,31,26,20,35
Iso_1_405,3,1,0,2,2,0,3,1,2,0
Iso_1_406,1298,940,1729,1352,1307,1770,1373,1294,1181,911
Iso_1_407,36,45,50,23,37,33,48,37,37,30
Iso_1_408,676,651,659,685,606,685,592,657,681,615
Iso_1_409,14,13,22,12,20,11,20,15,29,24
Iso_1_410,88,110,89,120,118,92,108,117,83,83
Iso_1_411,1547,1226,1529,1702,1726,1675,1379,1381,1240,1346
Iso_1_412,358,337,320,364,278,286,259,329,310,335
Iso_1_413,3747,3209,3596,3988,3684,3861,3853,3388,3599,3392
Iso_1_414,85,165,114,128,146,126,118,119,128,114
Iso_1_415,638,738,676,618,603,603,549,622,576,568
Iso_1_416,287,291,311,331,259,379,474,424,377,297
Iso_1_417,1354,1399,1488,1550,1404,1559,1481,1427,1652,1716
Iso_1_418,539,320,564,723,344,460,495,437,499,496
Iso_1_419,629,641,733,505,635,600,699,605,591,683
Iso_1_420,170,189,225,184,164,210,198,183,193,181
Iso_1_421,40,56,60,38,52,49,73,55,56,58
Iso_1_422,126,139,202,137,197,143,97,196,112,146
Iso_1_423,357,291,364,339,364,377,355,356,303,305
Iso_1_424,3,10,4,7,2,7,9,10,8,3
Iso_1_425,481,425,342,332,462,395,345,403,408,261
Iso_1_426,128,101,62,91,44,90,78,98,91,53
Iso_1_427,2015,2594,2339,2430,1624,1969,2063,1911,2210,1907
Iso_1_428,133,149,125,76,138,105,134,102,155,105
Iso_1_429,30,36,22,33,19,32,28,28,41,36
Iso_1_430,821,752,726,783,891,795,822,869,791,841
Iso_1_431,293,277,215,200,237,202,181,126,188,203
Iso_1_432,898,1431,703,1001,832,658,797,985,686,1044
Iso_1_433,1186,1166,1160,1076,1119,1297,1101,1175,1152,1198
Iso_1_434,360,362,439,385,425,288,345,246,312,418
Iso_1_435,124,97,103,89,105,107,107,103,129,108
Iso_1_436,161,121,211,182,144,146,222,191,212,191
Iso_1_437,55,56,70,84,38,77,58,85,73,56
Iso_1_438,628,584,842,696,693,869,676,622,722,722
Iso_1_439,64,73,45,59,76,72,78,78,61,56
Iso_1_440,1017,1077,988,1049,836,1041,1119,995,840,1189
Iso_1_441,1637,1700,1777,1763,1651,1621,1648,1800,1891,1713
Iso_1_442,29,32,24,27,29,43,33,35,25,21
Iso_1_443,1372,1427,1574,1355,1431,1441,1445,1501,1285,1392
Iso_1_444,269,301,263,270,274,265,321,185,319,250
Iso_1_445,1523,1355,1490,1705,1388,1808,1590,1612,1442,1261
Iso_1_446,643,473,555,575,423,673,679,636,470,486
Iso_1_447,1192,922,1054,742,725,812,729,1207,872,1061
Iso_1_448,66,73,56,62,61,75,79,67,42,54
Iso_1_449,86,120,102,104,112,166,141,140,143,137
Iso_1_450,836,851,766,706,694,644,760,821,774,801
Iso_1_451,743,557,858,716,792,877,896,873,767,884
Iso_1_452,70,59,55,63,65,70,39,51,95,101
Iso_1_453,1693,1786,1821,1985,2287,2501,1644,1848,2698,1911
Iso_1_454,563,669,653,553,516,594,682,638,629,697
Iso_1_455,1216,1160,1040,1026,1098,1156,1232,1183,1128,1007
Iso_1_456,1256,1293,981,1106,1077,1078,1148,1353,1262,1238
