Iso_1_1,Gene_1
Iso_1_119,Gene_119
Iso_1_120,Gene_120
Iso_1_121,Gene_121
Iso_1_122,Gene_122
Iso_1_123,Gene_123
Iso_1_124,Gene_124
Iso_1_125,Gene_125
Iso_1_126,Gene_126
Iso_1_127,Gene_127
Iso_1_128,Gene_128
Iso_1_129,Gene_129
Iso_1_130,Gene_130
Iso_1_131,Gene_131
Iso_1_132,Gene_132
Iso_1_133,Gene_133
Iso_1_134,Gene_134
Iso_1_135,Gene_135
Iso_1_136,Gene_136
Iso_1_137,Gene_137
Iso_1_138,Gene_138
Iso_1_139,Gene_139
Iso_1_140,Gene_140
Iso_1_141,Gene_141
Iso_1_142,Gene_142
Iso_1_143,Gene_143
Iso_1_144,Gene_144
Iso_1_145,Gene_145
Iso_1_146,Gene_146
Iso_1_147,Gene_147
Iso_1_148,Gene_148
Iso_1_149,Gene_149
Iso_1_150,Gene_150
Iso_1_151,Gene_151
Iso_1_152,Gene_152
Iso_1_153,Gene_153
Iso_1_154,Gene_154
Iso_1_155,Gene_155
Iso_1_156,Gene_156
Iso_1_157,Gene_157
Iso_1_158,Gene_158
Iso_1_159,Gene_159
Iso_1_160,Gene_160
Iso_1_161,Gene_161
Iso_1_162,Gene_162
Iso_1_163,Gene_163
Iso_1_164,Gene_164
Iso_1_165,Gene_165
Iso_1_166,Gene_166
Iso_1_167,Gene_167
Iso_1_168,Gene_168
Iso_1_169,Gene_169
Iso_1_170,Gene_170
Iso_1_171,Gene_171
Iso_1_172,Gene_172
Iso_1_173,Gene_173
Iso_1_174,Gene_174
Iso_1_175,Gene_175
Iso_1_176,Gene_176
Iso_1_177,Gene_177
Iso_1_178,Gene_178
Iso_1_179,Gene_179
Iso_1_180,Gene_180
Iso_1_181,Gene_181
Iso_1_182,Gene_182
Iso_1_183,Gene_183
Iso_1_184,Gene_184
Iso_1_185,Gene_185
Iso_1_186,Gene_186
Iso_1_187,Gene_187
Iso_1_188,Gene_188
Iso_1_189,Gene_189
Iso_1_190,Gene_190
Iso_1_191,Gene_191
Iso_1_192,Gene_192
Iso_1_193,Gene_193
Iso_1_194,Gene_194
Iso_1_195,Gene_195
Iso_1_196,Gene_196
Iso_1_197,Gene_197
Iso_1_198,Gene_198
Iso_1_199,Gene_199
Iso_1_200,Gene_200
Iso_1_201,Gene_201
Iso_1_202,Gene_202
Iso_1_203,Gene_203
Iso_1_204,Gene_204
Iso_1_205,Gene_205
Iso_1_206,Gene_206
Iso_1_207,Gene_207
Iso_1_208,Gene_208
Iso_1_209,Gene_209
Iso_1_210,Gene_210
Iso_1_211,Gene_211
Iso_1_212,Gene_212
Iso_1_213,Gene_213
Iso_1_214,Gene_214
Iso_1_215,Gene_215
Iso_1_216,Gene_216
Iso_1_217,Gene_217
Iso_1_218,Gene_218
Iso_1_219,Gene_219
Iso_1_220,Gene_220
Iso_1_221,Gene_221
Iso_1_222,Gene_222
Iso_1_223,Gene_223
Iso_1_224,Gene_224
Iso_1_225,Gene_225
Iso_1_226,Gene_226
Iso_1_227,Gene_227
Iso_1_228,Gene_228
Iso_1_229,Gene_229
Iso_1_230,Gene_230
Iso_1_231,Gene_231
Iso_1_232,Gene_232
Iso_1_233,Gene_233
Iso_1_234,Gene_234
Iso_1_235,Gene_235
Iso_1_236,Gene_236
Iso_1_237,Gene_237
Iso_1_238,Gene_238
Iso_1_239,Gene_239
Iso_1_240,Gene_240
Iso_1_241,Gene_241
Iso_1_242,Gene_242
Iso_1_243,Gene_243
Iso_1_244,Gene_244
Iso_1_245,Gene_245
Iso_1_246,Gene_246
Iso_1_247,Gene_247
Iso_1_248,Gene_248
Iso_1_249,Gene_249
Iso_1_250,Gene_250
Iso_1_251,Gene_251
Iso_1_252,Gene_252
Iso_1_253,Gene_253
Iso_1_254,Gene_254
Iso_1_255,Gene_255
Iso_1_256,Gene_256
Iso_1_257,Gene_257
Iso_1_258,Gene_258
Iso_1_259,Gene_259
Iso_1_260,Gene_260
Iso_1_261,Gene_261
Iso_1_262,Gene_262
Iso_1_263,Gene_263
Iso_1_264,Gene_264
Iso_1_265,Gene_265
Iso_1_266,Gene_266
Iso_1_267,Gene_267
Iso_1_268,Gene_268
Iso_1_269,Gene_269
Iso_1_270,Gene_270
Iso_1_271,Gene_271
Iso_1_272,Gene_272
Iso_1_273,Gene_273
Iso_1_274,Gene_274
Iso_1_275,Gene_275
Iso_1_276,Gene_276
Iso_1_277,Gene_277
Iso_1_278,Gene_278
Iso_1_279,Gene_279
Iso_1_280,Gene_280
Iso_1_281,Gene_281
Iso_1_282,Gene_282
Iso_1_283,Gene_283
Iso_1_284,Gene_284
Iso_1_285,Gene_285
Iso_1_286,Gene_286
Iso_1_287,Gene_287
Iso_1_288,Gene_288
Iso_1_289,Gene_289
Iso_1_290,Gene_290
Iso_1_291,Gene_291
Iso_1_292,Gene_292
Iso_1_293,Gene_293
Iso_1_294,Gene_294
Iso_1_295,Gene_295
Iso_1_296,Gene_296
Iso_1_297,Gene_297
Iso_1_298,Gene_298
Iso_1_299,Gene_299
Iso_1_300,Gene_300
Iso_1_301,Gene_301
Iso_1_302,Gene_302
Iso_1_303,Gene_303
Iso_1_304,Gene_304
Iso_1_305,Gene_305
Iso_1_306,Gene_306
Iso_1_307,Gene_307
Iso_1_308,Gene_308
Iso_1_309,Gene_309
Iso_1_310,Gene_310
Iso_1_311,Gene_311
Iso_1_312,Gene_312
Iso_1_313,Gene_313
Iso_1_314,Gene_314
Iso_1_315,Gene_315
Iso_1_316,Gene_316
Iso_1_317,Gene_317
Iso_1_318,Gene_318
Iso_1_319,Gene_319
Iso_1_320,Gene_320
Iso_1_321,Gene_321
Iso_1_322,Gene_322
Iso_1_323,Gene_323
Iso_1_324,Gene_324
Iso_1_325,Gene_325
Iso_1_326,Gene_326
Iso_1_327,Gene_327
Iso_1_328,Gene_328
Iso_1_329,Gene_329
Iso_1_330,Gene_330
Iso_1_331,Gene_331
Iso_1_332,Gene_332
Iso_1_333,Gene_333
Iso_1_334,Gene_334
Iso_1_335,Gene_335
Iso_1_336,Gene_336
Iso_1_337,Gene_337
Iso_1_338,Gene_338
Iso_1_339,Gene_339
Iso_1_340,Gene_340
Iso_1_341,Gene_341
Iso_1_342,Gene_342
Iso_1_343,Gene_343
Iso_1_344,Gene_344
Iso_1_345,Gene_345
Iso_1_346,Gene_346
Iso_1_347,Gene_347
Iso_1_348,Gene_348
Iso_1_349,Gene_349
Iso_1_350,Gene_350
Iso_1_351,Gene_351
Iso_1_352,Gene_352
Iso_1_353,Gene_353
Iso_1_354,Gene_354
Iso_1_355,Gene_355
Iso_1_356,Gene_356
Iso_1_357,Gene_357
Iso_1_358,Gene_358
Iso_1_359,Gene_359
Iso_1_360,Gene_360
Iso_1_361,Gene_361
Iso_1_362,Gene_362
Iso_1_363,Gene_363
Iso_1_364,Gene_364
Iso_1_365,Gene_365
Iso_1_366,Gene_366
Iso_1_367,Gene_367
Iso_1_368,Gene_368
Iso_1_369,Gene_369
Iso_1_370,Gene_370
Iso_1_371,Gene_371
Iso_1_372,Gene_372
Iso_1_373,Gene_373
Iso_1_374,Gene_374
Iso_1_375,Gene_375
Iso_1_376,Gene_376
Iso_1_377,Gene_377
Iso_1_378,Gene_378
Iso_1_379,Gene_379
Iso_1_380,Gene_380
Iso_1_381,Gene_381
Iso_1_382,Gene_382
Iso_1_383,Gene_383
Iso_1_384,Gene_384
Iso_1_385,Gene_385
Iso_1_386,Gene_386
Iso_1_387,Gene_387
Iso_1_388,Gene_388
Iso_1_389,Gene_389
Iso_1_390,Gene_390
Iso_1_391,Gene_391
Iso_1_392,Gene_392
Iso_1_393,Gene_393
Iso_1_394,Gene_394
Iso_1_395,Gene_395
Iso_1_396,Gene_396
Iso_1_397,Gene_397
Iso_1_398,Gene_398
Iso_1_399,Gene_399
Iso_1_400,Gene_400
Iso_1_401,Gene_401
Iso_1_402,Gene_402
Iso_1_403,Gene_403
Iso_1_404,Gene_404
Iso_1_405,Gene_405
Iso_1_406,Gene_406
Iso_1_407,Gene_407
Iso_1_408,Gene_408
Iso_1_409,Gene_409
Iso_1_410,Gene_410
Iso_1_411,Gene_411
Iso_1_412,Gene_412
Iso_1_413,Gene_413
Iso_1_414,Gene_414
Iso_1_415,Gene_415
Iso_1_416,Gene_416
Iso_1_417,Gene_417
Iso_1_418,Gene_418
Iso_1_419,Gene_419
Iso_1_420,Gene_420
Iso_1_421,Gene_421
Iso_1_422,Gene_422
Iso_1_423,Gene_423
Iso_1_424,Gene_424
Iso_1_425,Gene_425
Iso_1_426,Gene_426
Iso_1_427,Gene_427
Iso_1_428,Gene_428
Iso_1_429,Gene_429
Iso_1_430,Gene_430
Iso_1_431,Gene_431
Iso_1_432,Gene_432
Iso_1_433,Gene_433
Iso_1_434,Gene_434
Iso_1_435,Gene_435
Iso_1_436,Gene_436
Iso_1_437,Gene_437
Iso_1_438,Gene_438
Iso_1_439,Gene_439
Iso_1_440,Gene_440
Iso_1_441,Gene_441
Iso_1_442,Gene_442
Iso_1_443,Gene_443
Iso_1_444,Gene_444
Iso_1_445,Gene_445
Iso_1_446,Gene_446
Iso_1_447,Gene_447
Iso_1_448,Gene_448
Iso_1_449,Gene_449
Iso_1_450,Gene_450
Iso_1_451,Gene_451
Iso_1_452,Gene_452
Iso_1_453,Gene_453
Iso_1_454,Gene_454
Iso_1_455,Gene_455
Iso_1_456,Gene_456
Iso_1_457,Gene_457
Iso_1_458,Gene_458
Iso_1_459,Gene_459
Iso_1_460,Gene_460
Iso_1_461,Gene_461
Iso_1_462,Gene_462
Iso_1_463,Gene_463
Iso_1_464,Gene_464
Iso_1_465,Gene_465
Iso_1_466,Gene_466
Iso_1_467,Gene_467
Iso_1_468,Gene_468
Iso_1_469,Gene_469
Iso_1_470,Gene_470
Iso_1_471,Gene_471
Iso_1_472,Gene_472
Iso_1_473,Gene_473
Iso_1_474,Gene_474
Iso_1_475,Gene_475
Iso_1_476,Gene_476
Iso_1_477,Gene_477
Iso_1_478,Gene_478
Iso_1_479,Gene_479
Iso_1_480,Gene_480
Iso_1_481,Gene_481
Iso_1_482,Gene_482
Iso_1_483,Gene_483
Iso_1_484,Gene_484
Iso_1_485,Gene_485
Iso_1_486,Gene_486
Iso_1_487,Gene_487
Iso_1_488,Gene_488
Iso_1_489,Gene_489
Iso_1_490,Gene_490
Iso_1_491,Gene_491
Iso_1_492,Gene_492
Iso_1_493,Gene_493
Iso_1_494,Gene_494
Iso_1_495,Gene_495
Iso_1_496,Gene_496
Iso_1_497,Gene_497
Iso_1_498,Gene_498
Iso_1_499,Gene_499
Iso_1_500,Gene_500
Iso_1_501,Gene_501
Iso_1_502,Gene_502
Iso_1_503,Gene_503
Iso_1_504,Gene_504
Iso_1_505,Gene_505
Iso_1_506,Gene_506
Iso_1_507,Gene_507
Iso_1_508,Gene_508
Iso_1_509,Gene_509
Iso_1_510,Gene_510
Iso_1_511,Gene_511
Iso_1_512,Gene_512
Iso_1_513,Gene_513
Iso_1_514,Gene_514
Iso_1_515,Gene_515
Iso_1_516,Gene_516
Iso_1_517,Gene_517
Iso_1_518,Gene_518
Iso_1_519,Gene_519
Iso_1_520,Gene_520
Iso_1_521,Gene_521
Iso_1_522,Gene_522
Iso_1_523,Gene_523
Iso_1_524,Gene_524
Iso_1_525,Gene_525
Iso_1_526,Gene_526
Iso_1_527,Gene_527
Iso_1_528,Gene_528
Iso_1_529,Gene_529
Iso_1_530,Gene_530
Iso_1_531,Gene_531
Iso_1_532,Gene_532
Iso_1_533,Gene_533
Iso_1_534,Gene_534
Iso_1_535,Gene_535
Iso_1_536,Gene_536
Iso_1_537,Gene_537
Iso_1_538,Gene_538
Iso_1_539,Gene_539
Iso_1_540,Gene_540
Iso_1_541,Gene_541
Iso_1_542,Gene_542
Iso_1_543,Gene_543
Iso_1_544,Gene_544
Iso_1_545,Gene_545
Iso_1_546,Gene_546
Iso_1_547,Gene_547
Iso_1_548,Gene_548
Iso_1_549,Gene_549
Iso_1_550,Gene_550
Iso_1_551,Gene_551
Iso_1_552,Gene_552
Iso_1_553,Gene_553
Iso_1_554,Gene_554
Iso_1_555,Gene_555
Iso_1_556,Gene_556
Iso_1_557,Gene_557
Iso_1_558,Gene_558
Iso_1_559,Gene_559
Iso_1_560,Gene_560
Iso_1_561,Gene_561
Iso_1_562,Gene_562
Iso_1_563,Gene_563
Iso_1_564,Gene_564
Iso_1_565,Gene_565
Iso_1_566,Gene_566
Iso_1_567,Gene_567
Iso_1_568,Gene_568
Iso_1_569,Gene_569
Iso_1_570,Gene_570
Iso_1_571,Gene_571
Iso_1_572,Gene_572
Iso_1_573,Gene_573
Iso_1_574,Gene_574
Iso_1_575,Gene_575
Iso_1_576,Gene_576
Iso_1_577,Gene_577
Iso_1_578,Gene_578
Iso_1_579,Gene_579
Iso_1_580,Gene_580
Iso_1_581,Gene_581
Iso_1_582,Gene_582
Iso_1_583,Gene_583
Iso_1_584,Gene_584
Iso_1_585,Gene_585
Iso_1_586,Gene_586
Iso_1_587,Gene_587
Iso_1_588,Gene_588
Iso_1_589,Gene_589
Iso_1_590,Gene_590
Iso_1_591,Gene_591
Iso_1_592,Gene_592
Iso_1_593,Gene_593
Iso_1_594,Gene_594
Iso_1_595,Gene_595
Iso_1_596,Gene_596
Iso_1_597,Gene_597
Iso_1_598,Gene_598
Iso_1_599,Gene_599
Iso_1_600,Gene_600
Iso_1_601,Gene_601
Iso_1_602,Gene_602
Iso_1_603,Gene_603
Iso_1_604,Gene_604
Iso_1_605,Gene_605
Iso_1_606,Gene_606
Iso_1_607,Gene_607
Iso_1_608,Gene_608
Iso_1_609,Gene_609
Iso_1_610,Gene_610
Iso_1_611,Gene_611
Iso_1_612,Gene_612
Iso_1_613,Gene_613
Iso_1_614,Gene_614
Iso_1_615,Gene_615
Iso_1_616,Gene_616
Iso_1_617,Gene_617
Iso_1_618,Gene_618
Iso_1_619,Gene_619
Iso_1_620,Gene_620
Iso_1_621,Gene_621
Iso_1_622,Gene_622
Iso_1_623,Gene_623
Iso_1_624,Gene_624
Iso_1_625,Gene_625
Iso_1_626,Gene_626
Iso_1_627,Gene_627
Iso_1_628,Gene_628
Iso_1_629,Gene_629
Iso_1_630,Gene_630
Iso_1_631,Gene_631
Iso_1_632,Gene_632
Iso_1_633,Gene_633
Iso_1_634,Gene_634
Iso_1_635,Gene_635
Iso_1_636,Gene_636
Iso_1_637,Gene_637
Iso_1_638,Gene_638
Iso_1_639,Gene_639
Iso_1_640,Gene_640
Iso_1_641,Gene_641
Iso_1_642,Gene_642
Iso_1_643,Gene_643
Iso_1_644,Gene_644
Iso_1_645,Gene_645
Iso_1_646,Gene_646
Iso_1_647,Gene_647
Iso_1_648,Gene_648
Iso_1_649,Gene_649
Iso_1_650,Gene_650
Iso_1_651,Gene_651
Iso_1_652,Gene_652
Iso_1_653,Gene_653
Iso_1_654,Gene_654
Iso_1_655,Gene_655
Iso_1_656,Gene_656
Iso_1_657,Gene_657
Iso_1_658,Gene_658
Iso_1_659,Gene_659
Iso_1_660,Gene_660
Iso_1_661,Gene_661
Iso_1_662,Gene_662
Iso_1_663,Gene_663
Iso_1_664,Gene_664
Iso_1_665,Gene_665
Iso_1_666,Gene_666
Iso_1_667,Gene_667
Iso_1_668,Gene_668
Iso_1_669,Gene_669
Iso_1_670,Gene_670
Iso_1_671,Gene_671
Iso_1_672,Gene_672
Iso_1_673,Gene_673
Iso_1_674,Gene_674
Iso_1_675,Gene_675
Iso_1_676,Gene_676
Iso_1_677,Gene_677
Iso_1_678,Gene_678
Iso_1_679,Gene_679
Iso_1_680,Gene_680
Iso_1_681,Gene_681
Iso_1_682,Gene_682
Iso_1_683,Gene_683
Iso_1_684,Gene_684
Iso_1_685,Gene_685
Iso_1_686,Gene_686
Iso_1_687,Gene_687
Iso_1_688,Gene_688
Iso_1_689,Gene_689
Iso_1_690,Gene_690
Iso_1_691,Gene_691
Iso_1_692,Gene_692
Iso_1_693,Gene_693
Iso_1_694,Gene_694
Iso_1_695,Gene_695
Iso_1_696,Gene_696
Iso_1_697,Gene_697
Iso_1_698,Gene_698
Iso_1_699,Gene_699
Iso_1_700,Gene_700
Iso_1_701,Gene_701
Iso_1_702,Gene_702
Iso_1_703,Gene_703
Iso_1_704,Gene_704
Iso_1_705,Gene_705
Iso_1_706,Gene_706
Iso_1_707,Gene_707
Iso_1_708,Gene_708
Iso_1_709,Gene_709
Iso_1_710,Gene_710
Iso_1_711,Gene_711
Iso_1_712,Gene_712
Iso_1_713,Gene_713
Iso_1_714,Gene_714
Iso_1_715,Gene_715
Iso_1_716,Gene_716
Iso_1_717,Gene_717
Iso_1_718,Gene_718
Iso_1_719,Gene_719
Iso_1_720,Gene_720
Iso_1_721,Gene_721
Iso_1_722,Gene_722
Iso_1_723,Gene_723
Iso_1_724,Gene_724
Iso_1_725,Gene_725
Iso_1_726,Gene_726
Iso_1_727,Gene_727
Iso_1_728,Gene_728
Iso_1_729,Gene_729
Iso_1_730,Gene_730
Iso_1_731,Gene_731
Iso_1_732,Gene_732
Iso_1_733,Gene_733
Iso_1_734,Gene_734
Iso_1_735,Gene_735
Iso_1_736,Gene_736
Iso_1_737,Gene_737
Iso_1_738,Gene_738
Iso_1_739,Gene_739
Iso_1_740,Gene_740
Iso_1_741,Gene_741
Iso_1_742,Gene_742
Iso_1_743,Gene_743
Iso_1_744,Gene_744
Iso_1_745,Gene_745
Iso_1_746,Gene_746
Iso_1_747,Gene_747
Iso_1_748,Gene_748
Iso_1_749,Gene_749
Iso_1_750,Gene_750
Iso_1_751,Gene_751
Iso_1_752,Gene_752
Iso_1_753,Gene_753
Iso_1_754,Gene_754
Iso_1_755,Gene_755
Iso_1_756,Gene_756
Iso_1_757,Gene_757
Iso_1_758,Gene_758
Iso_1_759,Gene_759
Iso_1_760,Gene_760
Iso_1_761,Gene_761
Iso_1_762,Gene_762
Iso_1_763,Gene_763
Iso_1_764,Gene_764
Iso_1_765,Gene_765
Iso_1_766,Gene_766
Iso_1_767,Gene_767
Iso_1_768,Gene_768
Iso_1_769,Gene_769
Iso_1_770,Gene_770
Iso_1_771,Gene_771
Iso_1_772,Gene_772
Iso_1_773,Gene_773
Iso_1_774,Gene_774
Iso_1_775,Gene_775
Iso_1_776,Gene_776
Iso_1_777,Gene_777
Iso_1_778,Gene_778
Iso_1_779,Gene_779
Iso_1_780,Gene_780
Iso_1_781,Gene_781
Iso_1_782,Gene_782
Iso_1_783,Gene_783
Iso_1_784,Gene_784
Iso_1_785,Gene_785
Iso_1_786,Gene_786
Iso_1_787,Gene_787
Iso_1_788,Gene_788
Iso_1_789,Gene_789
Iso_1_790,Gene_790
Iso_1_791,Gene_791
Iso_1_792,Gene_792
Iso_1_793,Gene_793
Iso_1_794,Gene_794
Iso_1_795,Gene_795
Iso_1_796,Gene_796
Iso_1_797,Gene_797
Iso_1_798,Gene_798
Iso_1_799,Gene_799
Iso_1_800,Gene_800
Iso_1_801,Gene_801
Iso_1_802,Gene_802
Iso_1_803,Gene_803
Iso_1_804,Gene_804
Iso_1_805,Gene_805
Iso_1_806,Gene_806
Iso_1_807,Gene_807
Iso_1_808,Gene_808
Iso_1_809,Gene_809
Iso_1_810,Gene_810
Iso_1_811,Gene_811
Iso_1_812,Gene_812
Iso_1_813,Gene_813
Iso_1_814,Gene_814
Iso_1_815,Gene_815
Iso_1_816,Gene_816
Iso_1_817,Gene_817
Iso_1_818,Gene_818
Iso_1_819,Gene_819
Iso_1_820,Gene_820
Iso_1_821,Gene_821
Iso_1_822,Gene_822
Iso_1_823,Gene_823
Iso_1_824,Gene_824
Iso_1_825,Gene_825
Iso_1_826,Gene_826
Iso_1_827,Gene_827
Iso_1_828,Gene_828
Iso_1_829,Gene_829
Iso_1_830,Gene_830
Iso_1_831,Gene_831
Iso_1_832,Gene_832
Iso_1_833,Gene_833
Iso_1_834,Gene_834
Iso_1_835,Gene_835
Iso_1_836,Gene_836
Iso_1_837,Gene_837
Iso_1_838,Gene_838
Iso_1_839,Gene_839
Iso_1_840,Gene_840
Iso_1_841,Gene_841
Iso_1_842,Gene_842
Iso_1_843,Gene_843
Iso_1_844,Gene_844
Iso_1_845,Gene_845
Iso_1_846,Gene_846
Iso_1_847,Gene_847
Iso_1_848,Gene_848
Iso_1_849,Gene_849
Iso_1_850,Gene_850
Iso_1_851,Gene_851
Iso_1_852,Gene_852
Iso_1_853,Gene_853
Iso_1_854,Gene_854
Iso_1_855,Gene_855
Iso_1_856,Gene_856
Iso_1_857,Gene_857
Iso_1_858,Gene_858
Iso_1_859,Gene_859
Iso_1_860,Gene_860
Iso_1_861,Gene_861
Iso_1_862,Gene_862
Iso_1_863,Gene_863
Iso_1_864,Gene_864
Iso_1_865,Gene_865
Iso_1_866,Gene_866
Iso_1_867,Gene_867
Iso_1_868,Gene_868
Iso_1_869,Gene_869
Iso_1_870,Gene_870
Iso_1_871,Gene_871
Iso_1_872,Gene_872
Iso_1_873,Gene_873
Iso_1_874,Gene_874
Iso_1_875,Gene_875
Iso_1_876,Gene_876
Iso_1_877,Gene_877
Iso_1_878,Gene_878
Iso_1_879,Gene_879
Iso_1_880,Gene_880
Iso_1_881,Gene_881
Iso_1_882,Gene_882
Iso_1_883,Gene_883
Iso_1_884,Gene_884
Iso_1_885,Gene_885
Iso_1_886,Gene_886
Iso_1_887,Gene_887
Iso_1_888,Gene_888
Iso_1_889,Gene_889
Iso_1_890,Gene_890
Iso_1_891,Gene_891
Iso_1_892,Gene_892
Iso_1_893,Gene_893
Iso_1_894,Gene_894
Iso_1_895,Gene_895
Iso_1_896,Gene_896
Iso_1_897,Gene_897
Iso_1_898,Gene_898
Iso_1_899,Gene_899
Iso_1_900,Gene_900
Iso_1_901,Gene_901
Iso_1_902,Gene_902
Iso_1_903,Gene_903
Iso_1_904,Gene_904
Iso_1_905,Gene_905
Iso_1_906,Gene_906
Iso_1_907,Gene_907
Iso_1_908,Gene_908
Iso_1_909,Gene_909
Iso_1_910,Gene_910
Iso_1_911,Gene_911
Iso_1_912,Gene_912
Iso_1_913,Gene_913
Iso_1_914,Gene_914
Iso_1_915,Gene_915
Iso_1_916,Gene_916
Iso_1_917,Gene_917
Iso_1_918,Gene_918
Iso_1_919,Gene_919
Iso_1_920,Gene_920
Iso_1_921,Gene_921
Iso_1_922,Gene_922
Iso_1_923,Gene_923
Iso_1_924,Gene_924
Iso_1_925,Gene_925
Iso_1_926,Gene_926
Iso_1_927,Gene_927
Iso_1_928,Gene_928
Iso_1_929,Gene_929
Iso_1_930,Gene_930
Iso_1_931,Gene_931
Iso_1_932,Gene_932
Iso_1_933,Gene_933
Iso_1_934,Gene_934
Iso_1_935,Gene_935
Iso_1_936,Gene_936
Iso_1_937,Gene_937
Iso_1_938,Gene_938
Iso_1_939,Gene_939
Iso_1_940,Gene_940
Iso_1_941,Gene_941
Iso_1_942,Gene_942
Iso_1_943,Gene_943
Iso_1_944,Gene_944
Iso_1_945,Gene_945
Iso_1_946,Gene_946
Iso_1_947,Gene_947
Iso_1_948,Gene_948
Iso_1_949,Gene_949
Iso_1_950,Gene_950
Iso_1_951,Gene_951
Iso_1_952,Gene_952
Iso_1_953,Gene_953
Iso_1_954,Gene_954
Iso_1_955,Gene_955
Iso_1_956,Gene_956
Iso_1_957,Gene_957
Iso_1_958,Gene_958
Iso_1_959,Gene_959
Iso_1_960,Gene_960
Iso_1_961,Gene_961
Iso_1_962,Gene_962
Iso_1_963,Gene_963
Iso_1_964,Gene_964
Iso_1_965,Gene_965
Iso_1_966,Gene_966
Iso_1_967,Gene_967
Iso_1_968,Gene_968
Iso_1_969,Gene_969
Iso_1_970,Gene_970
Iso_1_971,Gene_971
Iso_1_972,Gene_972
Iso_1_973,Gene_973
Iso_1_974,Gene_974
Iso_1_975,Gene_975
Iso_1_976,Gene_976
Iso_1_977,Gene_977
Iso_1_978,Gene_978
Iso_1_979,Gene_979
Iso_1_980,Gene_980
Iso_1_981,Gene_981
Iso_1_982,Gene_982
Iso_1_983,Gene_983
Iso_1_984,Gene_984
Iso_1_985,Gene_985
Iso_1_986,Gene_986
Iso_1_987,Gene_987
Iso_1_988,Gene_988
Iso_1_989,Gene_989
Iso_1_990,Gene_990
Iso_1_991,Gene_991
Iso_1_992,Gene_992
Iso_1_993,Gene_993
Iso_1_994,Gene_994
Iso_1_995,Gene_995
Iso_1_996,Gene_996
Iso_1_997,Gene_997
Iso_1_998,Gene_998
Iso_1_999,Gene_999
